Material Name,Symbol,Category,Molecular Weight (g/mol),Overall t_min (K),Overall t_max (K),Phases,Shomate Intervals,Max Fit Error Across Intervals (%),Reference Code,Source / Notes
Mg3N2,Mg3N2,Ceramics,100.9284,298.15,6000,cr,4,2.002,tpis96,"Cubic. Gurvich,1996a pt1 p427 pt2 p340."
Manganese,Mn,Metals and alloys,54.938,200,6000,"L, a, b, c, d",5,1.35,j,"Alpha. Ref-Elm. Chase,1998 pp1571-4."
Molybdenum,Mo,Metals and alloys,95.94,200,6000,"L, cr",4,2.314,j,"Crystal. Ref-Elm. Chase,1998 pp1577-80."
MoO2,MoO2,Ceramics,127.9388,200,6000,cr,2,3.537,tpis82,"Monoclinic. Gurvich,1982 pt1 p27 pt2 p32."
MoO3,MoO3,Ceramics,143.9382,200,6000,"L, cr",3,1.67,tpis82,"Rhombic. Gurvich,1982 pt1 p30 pt2 p34."
NH4CL,NH4CL,Other technologically relevant materials,53.4915,298.15,1500,"II, III",3,0.288,j,"Chase,1998 p765."
NH4F,NH4F,Other technologically relevant materials,37.0369,200,6000,"L, cr",3,0.06,tpis89,"Hexagonal. Gurvich,1989 pt1 p388 pt2 p324."
Sodium,Na,Metals and alloys,22.9898,200,2300,"L, cr",2,0.198,coda89,"Cubic. Ref-Elm. Cox,1989 p254."
NaALO2,NaALO2,Ceramics,81.9701,200,3000,"a, b",2,1.226,j,"Alpha.Chase,1998 p131."
NaBO2,NaBO2,Ceramics,65.7996,200,6000,"L, cr",3,0.052,tpis82,"Hexagonal. Gurvich,1982 pt1 p357 pt2 p391."
NaBr,NaBr,Other technologically relevant materials,102.8938,200,6000,"L, cr",3,0.396,tpis82,"Cubic. Gurvich,1982 pt1 p340 pt2 p378."
NaCN,NaCN,Other technologically relevant materials,49.0072,197.7,6000,"II, III, L",10,0.526,g,"Lambda trans@288.5K. Chase,1998(3/66) pp631-3. Messer,1941."
NaCL,NaCL,Other technologically relevant materials,58.4428,200,6000,"L, cr",3,0.34,tpis82,"Cubic. Gurvich,1982 pt1 p335 pt2 p374."
NaF,NaF,Other technologically relevant materials,41.9882,200,6000,"L, cr",3,1.423,tpis82,"Cubic. Gurvich,1982 pt1 p330 pt2 p370."
NaH,NaH,Other technologically relevant materials,23.9977,200,6000,"L, cr",3,0.092,tpis82,"Cubic. Gurvich,1982 pt1 p324 pt2 p365."
NaI,NaI,Other technologically relevant materials,149.8942,200,6000,"L, cr",3,0.402,tpis82,"Cubic. Gurvich,1982 pt1 p343 pt2 p381."
NaNO2,NaNO2,Other technologically relevant materials,68.9953,298.15,6000,"I, I', L",4,0.059,tpis82,"Rhombic. Gurvich,1982 pt1 p350 pt2 p386."
NaNO3,NaNO3,Other technologically relevant materials,84.9947,200,6000,"L, a, b",4,3.227,tpis82,"Hexagonal. Gurvich,1982 pt1 p353 pt2 p388."
NaOH,NaOH,Other technologically relevant materials,39.9971,100,6000,"L, a, b, c",6,0.651,g,"Alpha. Gurvich,1996b."
NaO2,NaO2,Other technologically relevant materials,54.9886,223.3,6000,"L, cr",2,0,g10/99,"Cubic. Gurvich,1982 pt1 p319 pt2 p359.Chase,1998 p1646 6/63."
Na2CO3,Na2CO3,Other technologically relevant materials,105.9884,200,6000,"L, a, b, c",4,2.18,tpis82,"Alpha,monoclinic. Gurvich,1982 pt1 p356 pt2 p390."
Na2O,Na2O,Other technologically relevant materials,61.9789,200,6000,"L, a, b, c",5,0.275,tpis82,"Gamma. Gurvich,1982 pt1 p320 pt2 p360."
Na2O2,Na2O2,Other technologically relevant materials,77.9783,200,6000,"L, a, b",4,0.396,tpis82,"Beta. Gurvich,1982 pt1 p323 pt2 p363."
Na2S,Na2S,Other technologically relevant materials,78.0445,298.15,6000,"L, cr",4,2.405,j,"Below lambda trans. Chase,1998 pp1667-9."
Na2SO3,Na2SO3,Other technologically relevant materials,126.0427,298.15,6000,"L, cr",2,0,bar,"Crystal. Barin,1989 pt2 p1002."
Na2SO4,Na2SO4,Other technologically relevant materials,142.0421,200,6000,"I, IV, L, V",4,0.151,tpis82,"Rhombic. Gurvich,1982 pt1 p346 pt2 p384."
Na3ALF6,Na3ALF6,Other technologically relevant materials,209.9413,200,6000,"L, a, b",4,0.395,tpis82,"Monoclinic. Gurvich,1982 pt1 p361 pt2 p394."
Na5AL3F14,Na5AL3F14,Other technologically relevant materials,461.8711,200,6000,"L, cr",3,0.91,tpis82,"Tetragonal. Gurvich,1982 pt1 p362 pt2 p395."
Niobium,Nb,Metals and alloys,92.9064,200,6000,"L, cr",4,1.717,j12/73,"Crystal. Ref-Elm. Chase,1998 pp1675-8."
NbO,NbO,Ceramics,108.9058,298.15,6000,"L, cr",2,2.313,tpis82,"Cubic. Gurvich,1982 pt1 p75 pt2 p77."
NbO2,NbO2,Ceramics,124.9052,200,6000,"I, II, L",4,0.308,tpis82,"Tetragonal. Gurvich,1982 pt1 p78 pt2 p80."
Nb2O5,Nb2O5,Ceramics,265.8098,200,6000,"L, cr",3,1.406,tpis82,"Monoclinic. Gurvich,1982 pt1 p81 pt2 p82."
Nickel,Ni,Metals and alloys,58.6934,200,6000,"L, cr",7,3.233,j12/76,"Crystal Ref-Elm. <lambda trans 631K. Chase,1998 pp1697-700."
NiS,NiS,Other technologically relevant materials,90.7584,200,6000,"L, a, b",3,1.284,j12/76,"Beta. Chase,1998 pp1704-6."
NiS2,NiS2,Other technologically relevant materials,122.8234,298.15,6000,"L, cr",2,0.001,j,"Crystal. Chase,1998 pp1708-10."
Ni3S2,Ni3S2,Other technologically relevant materials,240.2102,200,6000,"L, a, b",3,1.166,g12/00,"Alpha. Pankratz,1987 p225-6. Chase,1998 pp1711-3 12/83."
Ni3S4,Ni3S4,Other technologically relevant materials,304.3402,298.15,1100,cr,1,0,j,"Crystal. Chase,1998 p1714."
Phosphorus,P,Semiconductors,30.9738,195.4,6000,"L, cr",2,0.086,tpis89,"White. Ref-Elm. Gurvich,1989 pt1 p395 pt2 p326. Chase,1998a."
P4O10,P4O10,Other technologically relevant materials,283.889,100,6000,"L, cr",3,1.312,tpis89,"Crystal. Gurvich,1989 pt1 p417 pt2 p270."
Lead,Pb,Metals and alloys,207.2,200,3600,"L, cr",2,0.496,tpis91,"Cubic. Ref-Elm. Gurvich,1991 pt1 p400 pt2 p337."
PbBr2,PbBr2,Other technologically relevant materials,367.008,100,6000,"L, cr",3,0.126,tpis91,"Rhombic Crystal. Gurvich,1991 pt1 p435 pt2 p361."
PbCL2,PbCL2,Other technologically relevant materials,278.106,200,6000,"L, cr",2,1.061,tpis91,"Rhombic Crystal. Gurvich,1991 pt1 p428 pt2 p356."
PbF2,PbF2,Other technologically relevant materials,245.1968,298.15,6000,"I, II, L",4,0.723,tpis91,"Rhombic Crystal(II). Gurvich,1991 pt1 p421 pt2 p351."
PbI2,PbI2,Other technologically relevant materials,461.0089,100,6000,"L, cr",3,0.332,tpis91,"Hexagonal Crystal. Gurvich,1991 pt1 p441 pt2 p366."
PbO,PbO,Ceramics,223.1994,100,6000,"I-y, II-r, L",4,0.035,tpis91,"Tetragonal (II-red).Gurvich,1991 pt1 p409 pt2 p343."
PbO2,PbO2,Ceramics,239.1988,100,1000,cr,2,2.302,tpis91,"Tetragonal. Gurvich,1991 pt1 p415 p52 p346."
PbS,PbS,Other technologically relevant materials,239.265,100,6000,"L, cr",3,1.649,tpis91,"Cubic. Gurvich,1991 pt1 p445 p52 p370."
Pb2O3,Pb2O3,Ceramics,462.3982,100,1000,cr,2,1.666,tpis91,"Monoclinic. Gurvich,1991 pt1 p417 pt2 p348."
Pb3O4,Pb3O4,Ceramics,685.5976,200,1000,cr,3,3.455,tpis91,"Tetragonal. Gurvich,1991 pt1 p418 pt2 p349."
Rubidium,Rb,Metals and alloys,85.4678,100,2100,"L, cr",3,0.982,coda89,"Cubic. Ref-Elm. Cox,1989 p260. Chase,1998a p1849 12/83."
RbBO2,RbBO2,Ceramics,128.2776,200,6000,"L, a, b",4,0.983,tpis82,"Gurvich,1982 pt1 p458 pt2 p482."
RbBr,RbBr,Other technologically relevant materials,165.3718,200,6000,"L, cr",2,0.152,tpis82,"Cubic. Gurvich,1982 pt1 p445 pt2 p469."
RbCL,RbCL,Other technologically relevant materials,120.9208,200,6000,"L, cr",2,1.188,tpis82,"Cubic. Gurvich,1982 pt1 p441 pt2 p466."
RbF,RbF,Other technologically relevant materials,104.4662,298.15,6000,"L, cr",2,0.071,tpis82,"Cubic. Gurvich,1982 pt1 p438 pt2 p463."
RbH,RbH,Other technologically relevant materials,86.4757,298.15,6000,"L, cr",2,0.577,tpis82,"Cubic. Gurvich,1982 pt1 p434 pt2 p458."
RbI,RbI,Other technologically relevant materials,212.3723,200,6000,"L, cr",2,1.048,tpis82,"Cubic. Gurvich,1982 pt1 p448 pt2 p472."
RbNO2,RbNO2,Other technologically relevant materials,131.4733,298.15,6000,"I, L",2,0,tpis82,"Cubic. Gurvich,1982 pt1 p453 pt2 p477."
RbNO3,RbNO3,Other technologically relevant materials,147.4727,200,6000,"I, II, III, IV, L",5,2.834,tpis82,"Hexagonal. Gurvich,1982 pt1 p455 pt2 p479."
RbOH,RbOH,Other technologically relevant materials,102.4751,298.15,6000,"L, b, c",3,0,g,"Beta. Gurvich,1997."
RbO2,RbO2,Other technologically relevant materials,117.4666,200,6000,"L, a, b",3,0.278,tpis82,"Beta,hexagonal. Gurvich,1982 pt1 p430 pt2 p453."
Rb2CO3,Rb2CO3,Other technologically relevant materials,230.9445,200,6000,"L, a, b",3,0.212,tpis82,"Alpha,monoclinic. Gurvich,1982 pt1 p457 pt2 p481."
Rb2O,Rb2O,Other technologically relevant materials,186.935,298.15,6000,"L, a, b, c",4,0,tpis82,"Gamma,cubic. Gurvich,1982 pt1 p431 pt2 p454."
Rb2O2,Rb2O2,Other technologically relevant materials,202.9344,298.15,6000,"L, a, b",3,0,tpis82,"Beta,rhombic Gurvich,1982 pt1 p433 pt2 p456."
Rb2SO4,Rb2SO4,Other technologically relevant materials,266.9982,200,6000,"L, a, b",5,0.49,tpis82,"Alpha,rhombic. Gurvich,1982 pt1 p451 pt2 p475."
Sulfur,S,Other technologically relevant materials,32.065,200,6000,"L, a, b",7,0.399,tpis89,"Alpha. Ref-Elm. Gurvich,1989 pt1 p265 pt2 p160."
Scandium,Sc,Metals and alloys,44.9559,100,6000,"L, a, b",4,2.48,tpis82,"Alpha. Ref-Elm. Gurvich,1982 pt1 p137 pt2 p138."
Sc2O3,Sc2O3,Ceramics,137.91,200,6000,"L, cr",3,1.209,tpis82,"Cubic. Gurvich,1982 pt1 p145 pt2 p150."
Silicon,Si,Semiconductors,28.0855,200,6000,"L, cr",3,3.96,tpis91,"Cubic. Ref-Elm. Gurvich,1991 pt1 p236 pt2 p220."
SiC,SiC,Ceramics,40.0962,100,6000,"L, b",5,2.557,tpis91,"Beta,cubic. Gurvich,1991 pt1 p298 pt2 p264."
SiO2,SiO2,Refractories,60.0843,200,6000,"L, a-qz, b-crt, b-qz",4,2.233,tpis91,"Alpha-quartz,hexagonal. Gurvich,1991 pt1 p250 pt2 p228."
SiS,SiS,Ceramics,60.1505,298.15,6000,"L, cr",2,0,tpis91,"Crystal. Gurvich,1991 pt1 p289 pt2 p257."
SiS2,SiS2,Ceramics,92.2155,100,6000,"L, cr",3,1.717,tpis91,"Tetragonal. Gurvich,1991 pt1 p293 pt2 p259."
Si2N2O,Si2N2O,Ceramics,100.1838,298.15,2500,cr,3,2.966,g,"Fegley,1981."
Si3N4,Si3N4,Refractories,140.2833,100,4000,cr,4,2.673,tpis91,"Hexagonal. Gurvich,1991 pt1 p297 pt2 p262."
Tin,Sn,Metals and alloys,118.71,200,4700,"L, cr",2,3.164,tpis91,"CrI,tetragonal. Ref-Elm. Gurvich,1991 pt1 p350 pt2 p300."
SnBr2,SnBr2,Other technologically relevant materials,278.518,100,6000,"L, cr",4,0.572,tpis91,"Rhombic. Gurvich,1991 pt1 p379 pt2 p322."
SnBr4,SnBr4,Other technologically relevant materials,438.326,200,6000,"L, cr",3,0.95,tpis91,"Monoclinic. Gurvich,1991 pt1 p382 pt2 p325."
SnCL2,SnCL2,Other technologically relevant materials,189.616,200,6000,"L, cr",2,0.308,tpis91,"Rhombic. Gurvich,1991 pt1 p372 pt2 p316."
SnCL4,SnCL4,Other technologically relevant materials,260.522,239.05,6000,L,2,0,tpis91,"Liquid. Gurvich,1991 pt1 p375 pt2 p319."
SnF2,SnF2,Other technologically relevant materials,156.7068,298.15,6000,"L, cr",2,0,tpis91,"Monoclinic. Gurvich,1991 pt1 p367 pt2 p311."
SnI2,SnI2,Other technologically relevant materials,372.5189,200,6000,"L, cr",3,0.444,tpis91,"Monoclinic. Gurvich,1991 pt1 p386 pt2 p328."
SnI4,SnI4,Other technologically relevant materials,626.3279,200,6000,"L, cr",3,0.322,tpis91,"Cubic. Gurvich,1991 pt1 p389 pt2 p331"
SnO,SnO,Ceramics,134.7094,100,6000,"L, cr",3,0,tpis91,"Tetragonal. Gurvich,1991 pt1 p356 pt2 p306."
SnO2,SnO2,Other technologically relevant materials,150.7088,100,6000,"L, cr",4,3.42,tpis91,"Tetragonal. Gurvich,1991 pt1 p361 pt2 p308."
SnS,SnS,Other technologically relevant materials,150.775,100,6000,"L, cr",4,1.515,tpis91,"Rhombic. Gurvich,1991 pt1 p392 pt2 p333."
SnS2,SnS2,Other technologically relevant materials,182.84,100,1143,cr,2,2.644,tpis91,"Hexagonal. Gurvich,1991 pt1 p396 pt2 p335."
Strontium,Sr,Metals and alloys,87.62,100,6000,"L, a, b",4,0.04,srd,"Alpha. Ref-Elm. Alcock,1993."
SrBr2,SrBr2,Other technologically relevant materials,247.428,200,6000,"L, a, b",3,0.536,tpis96,"Alpha,tetragonal. Gurvich,1996a pt1 p523 pt2 p403."
SrCO3,SrCO3,Other technologically relevant materials,147.6289,200,6000,"L, a, b, c",5,2.105,tpis96,"Alpha,rhombic. Gurvich,1996a pt1 p532 pt2 p411."
SrCL2,SrCL2,Other technologically relevant materials,158.526,200,6000,"L, a, b",5,1.635,tpis96,"Alpha,cubic. Gurvich,1996a pt1 p518 pt2 p400."
SrF2,SrF2,Other technologically relevant materials,125.6168,200,6000,"L, a, b",4,1.335,tpis96,"Alpha,cubic. Gurvich,1996a pt1 p513 pt2 p396."
SrH2,SrH2,Other technologically relevant materials,89.6359,298,6000,"L, a, b",3,0,tpis96,"Alpha,rhombic. Gurvich,1996a pt1 p501 pt2 p389."
SrI2,SrI2,Other technologically relevant materials,341.4289,200,6000,"L, cr",2,0.437,tpis96,"Rhombic. Gurvich,1996a pt1 p527 pt2 p406."
SrO,SrO,Other technologically relevant materials,103.6194,200,6000,"L, cr",4,0.808,tpis96,"Cubic. Gurvich,1996a pt1 p494 pt2 p383."
Sr(OH)2,Sr(OH)2,Other technologically relevant materials,121.6347,200,6000,"L, a, b",3,0.875,tpis96,"Beta,tetragonal. Gurvich,1996a pt1 p505 pt2 p392."
SrS,SrS,Other technologically relevant materials,119.685,200,6000,"L, cr",3,0.297,tpis96,"Cubic. Gurvich,1996a pt1 p528 pt2 p408."
SrS04,SrS04,Other technologically relevant materials,183.6826,298.15,6000,"L, a, b",3,2.834,tpis96,"Alpha,Rhombic. Gurvich,1996a pt1 p531 pt2 p410."
Tantalum,Ta,Metals and alloys,180.9479,200,6000,"L, cr",4,1.162,j12/72,"Crystal. Ref-Elm. Chase,1998 pp1899-1901."
TaC,TaC,Refractories,192.9586,200,6000,"L, cr",3,0.751,j12/73,"Chase,1998 pp652-4."
Ta2O5,Ta2O5,Ceramics,441.8928,200,6000,"I, II, L",4,0.46,tpis82,"Rhombic. Gurvich,1982 pt1 p91 pt2 p92."
Thorium,Th,Metals and alloys,232.0381,200,6000,"L, a, b",3,0.35,coda89,"Alpha. Ref-Elm. Cox,1989 p239."
Titanium,Ti,Metals and alloys,47.867,200,6000,"L, a, b",4,2.647,coda89,"Alpha. Ref-Elm. Cox,1989 p230."
TiB,TiB,Ceramics,58.678,298.15,4000,cr,2,3.759,j,"Crystal. Chase,1998. p258."
TiB2,TiB2,Refractories,69.489,200,6000,"L, cr",5,0.376,j,"Crystal. Chase,1998 pp276-8."
TiC,TiC,Refractories,59.8777,200,6000,"L, cr",3,2.894,j,"Chase,1998 p655-7"
TiCL2,TiCL2,Other technologically relevant materials,118.773,200,2000,cr,2,1.842,j12/68,"Chase,1998 p865."
TiCL3,TiCL3,Other technologically relevant materials,154.226,298.15,1500,cr,1,0.092,j12/68,"Chase,1998 p886."
TiCL4,TiCL4,Other technologically relevant materials,189.679,249.05,2000,L,2,0.08,j12/67,"Chase,1998 p904."
TiN,TiN,Refractories,61.8737,200,6000,"L, cr",3,0.526,j,"Chase,1998 pp1612-4."
TiO,TiO,Ceramics,63.8664,200,6000,"L, a, b, c",5,2.368,tpis82,"Alpha,monoclinic. Gurvich,1982 pt1 p98 pt2 p99."
TiO2,TiO2,Refractories,79.8658,200,6000,"L, cr",5,0.824,tpis82,"Rutile,tetragonal. Gurvich,1982 pt1 p105 pt2 p105."
Ti2O3,Ti2O3,Ceramics,143.7322,200,6000,"I, I', L",5,1.388,tpis82,"Hexagonal. Gurvich,1982 pt1 p109 pt2 p108."
Ti3O5,Ti3O5,Ceramics,223.598,200,6000,"L, a, b",4,1.842,tpis82,"Alpha,monoclinic. Gurvich,1982 pt1 p111 pt2 p110."
Ti4O7,Ti4O7,Ceramics,303.4638,200,6000,"L, cr",3,0.507,tpis82,"Triclinic. Gurvich,1982 pt1 p112 pt2 p111."
Uranium,U,Metals and alloys,238.0289,200,4000,"L, a, b, c",4,0.289,coda89,"Alpha. Ref-Elm. Cox,1989 p234."
UF3,UF3,Other technologically relevant materials,295.0241,298.15,6000,"L, cr",2,2.094,tpis82,"Hexagonal. Gurvich,1982 pt1 p209 pt2 p236."
UF4,UF4,Other technologically relevant materials,314.0225,200,6000,"L, cr",3,0.283,tpis82,"Monoclinic. Gurvich,1982 pt1 p212 pt2 p243."
UF5,UF5,Other technologically relevant materials,333.0209,298.15,6000,"L, a, b",3,0.002,tpis82,"Beta,tetragonal. Gurvich,1982 pt1 p217 pt2 p250."
UF6,UF6,Other technologically relevant materials,352.0193,100,1000,"L, cr",2,0.214,tpis82,"Rhombic. Gurvich,1982 pt1 p222 pt2 p532."
UO2,UO2,Refractories,270.0277,200,6000,"L, cr",3,2.195,tpis82,"Cubic. Gurvich,1982 pt1 p190 pt2 p209."
UO2F2,UO2F2,Other technologically relevant materials,308.0245,200,2100,cr,2,0.336,tpis82,"Hexagonal. Gurvich,1982 pt1 p227 pt2 p262."
UO3,UO3,Ceramics,286.0271,200,3000,c,2,1.298,tpis82,"Gamma,monoclinic. Gurvich,1982 pt1 p195 pt2 p217."
U3O8,U3O8,Ceramics,842.0819,200,6000,"I, II",3,0.284,tpis82,"Rhombic. Gurvich,1982 pt1 p199 pt2 p222."
U4O9,U4O9,Ceramics,1096.1102,298.15,6000,"I, II, III",4,1.063,tpis82,"Cubic. Gurvich,1982 pt1 p201 pt2 p223."
Vanadium,V,Metals and alloys,50.9415,200,6000,"L, cr",4,0.344,j,"Crystal. Ref-Elm. Chase,1998 p1917."
VCL2,VCL2,Other technologically relevant materials,121.8475,298,1300,cr,1,0.516,g10/00,"Pankratz,1984."
VCL3,VCL3,Other technologically relevant materials,157.3005,298,1000,cr,1,0.678,g,"Pankratz,1984."
VN,VN,Ceramics,64.9482,200,3500,cr,2,1.985,j12/73,"Chase,1998 p1635."
VO,VO,Ceramics,66.9409,200,6000,"L, cr",5,1.287,tpis82,"Cubic Gurvich,1982 pt1 p60 pt2 p63."
V2O3,V2O3,Ceramics,149.8812,200,6000,"L, cr",3,2.506,tpis82,"Hexagonal. Gurvich,1982 pt1 p65 pt2 p67."
V2O4,V2O4,Ceramics,165.8806,200,6000,"I, II, L",3,2.927,tpis82,"Monoclinic. Gurvich,1982 pt1 p67 pt2 p68."
V2O5,V2O5,Ceramics,181.88,200,6000,"L, cr",3,0.449,tpis82,"Rhombic. Gurvich,1982 pt1 p68 pt2 p69."
Tungsten,W,Metals and alloys,183.84,200,6000,"L, cr",5,2.355,j,"Crystal. Ref-Elm. Chase,1998 pp1925-8."
WC,WC,Refractories,195.8507,298.15,2500,cr,2,3.489,bar,"Hf:Wagman,1982 p203. Barin,1989 pt2 p1642."
WCL6,WCL6,Other technologically relevant materials,396.558,298.15,6000,"I, II, III, L",4,0,j12/66,"Alpha1. Chase,1998 pp931-4."
WOCL4,WOCL4,Other technologically relevant materials,341.6514,298.15,6000,"L, cr",2,0,j,"Crystal. Chase,1998 pp897-9."
WO2,WO2,Ceramics,215.8388,100,6000,cr,5,3.203,tpis82,"Gurvich,1982 pt1 p46 pt2 p49."
WO2CL2,WO2CL2,Other technologically relevant materials,286.7448,298.15,1000,cr,1,0.398,j,"Chase,1998 p848."
WO3,WO3,Ceramics,231.8382,100,6000,"I, III, III,II, L",5,2.678,tpis82,"Gurvich,1982 pt1 p49 pt2 p51."
Zinc,Zn,Metals and alloys,65.39,200,6000,"L, cr",2,0.342,coda89,"Crystal. Ref-Elm. Cox,1989 p221."
ZnSO4,ZnSO4,Other technologically relevant materials,161.4526,200,6000,"a, a', b",3,0.302,j,"Alpha. Chase,1998 p1788."
Zirconium,Zr,Metals and alloys,91.224,200,6000,"L, a, b",3,1.533,j,"Alpha. Ref-Elm. Chase,1998 pp1943-7."
ZrC,ZrC,Refractories,103.2347,200,6000,"L, cr",3,1.731,j12/64,"Crystal. Chase,1998 pp658-60."
ZrN,ZrN,Refractories,105.2307,200,6000,"L, cr",3,2.231,g11/00,"Chase,1998 pp1617-9 6/61."
ZrO2,ZrO2,Refractories,123.2228,200,6000,"I, II, III, L",5,0.731,tpis82,"Monoclinic. Gurvich,1982 pt1 p123 pt2 p122."
